Nombre,Categoría,Calificación,Número de Opiniones,Dirección,Latitud,Longitud,Imagen
Carls Jr Pacífico,americana,4.6,"6,000+","Boulevard Libramiento Oriente 7521, Tijuana, LATAM 22643",32.2045,-116.6035,https://tb-static.uber.com/prod/image-proc/processed_images/a507cb44fd8442442ed5e27751c9a403/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Café de la Flor Chapultepec,americana,4.6,"6,000+","Sonora 69, Chapultepec, 22420, Tijuana, Tijuana 22020",31.7816,-116.5918,https://tb-static.uber.com/prod/image-proc/processed_images/14e64ddabb600c6b99a49b87940085b3/f8403c421bef668ad381b5e82e546060.jpeg
Café de la Flor Otay,americana,4.7,"10,000+","Blvd. Lázaro Cárdenas 17102-9, Tijuana, Tijuana 22457",32.5027,-117.00371,https://tb-static.uber.com/prod/image-proc/processed_images/14e64ddabb600c6b99a49b87940085b3/f8403c421bef668ad381b5e82e546060.jpeg
Little Caesars La Fiesta,italiana,4.8,"8,000+","Blvd. Diaz Ordaz Esquina Con Blvd. Clouthier # 15850 Local 7 Y 8 De Plaza Fiesta, Tijuana, Baja California 22115",51.5,10.5,https://tb-static.uber.com/prod/image-proc/processed_images/db4fc6017030a42fd6b5b7b7a5519b9d/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Pho Time ,asiática,4.8,"1,000+","32.48187° N, 116.92734° O, Primer Piso, Tijuana, BC 22226",31.8856,-116.4323,https://tb-static.uber.com/prod/image-proc/processed_images/3c3c326b5a921780c6b7855441f629c9/61e8d264e9409914f90881b13f54d0ac.jpeg
Little Caesars Otay Constituyentes,italiana,4.7,"5,000+","Boulevard Alberto Limón Padilla 18280, Tijuana, BC 22436",32.5371538,-116.9279113,https://tb-static.uber.com/prod/image-proc/processed_images/db4fc6017030a42fd6b5b7b7a5519b9d/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
Takunoya Ramen,asiática,4.8,500+,"Calle Durango 2227, Int. Local 2 Y 3, Col. Maderos, Del. Tijuana, LATAM 22040",32.4849791,-116.9804397,https://tb-static.uber.com/prod/image-proc/processed_images/b39d6121c895e63ec65c00ab0bb364c9/9b3aae4cf90f897799a5ed357d60e09d.webp
La Paella de Alicia,española,4.8,"1,000+","Avenida Independencia 377, Tijuana, BC 22034",32.5331711,-117.0193304,https://tb-static.uber.com/prod/image-proc/processed_images/05ae05850ac54f5028db65cad42e700a/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Pizza  Love Centro,italiana,4.6,"4,000+","Avenida Revolución 1385, Int 1, Tijuana, BC 22000",32.5316,-116.7601,https://tb-static.uber.com/prod/image-proc/processed_images/624b7e212c0a8460bd6f71906e06e751/7835428b286acb57646a256c897c0e9e.jpeg
Levain XVI Zona Río,panadería,4.8,900+,"Misión De San Diego 2913, Tijuana, Baja California 22010",32.5188552,-117.0106345,https://tb-static.uber.com/prod/image-proc/processed_images/aa8d213e551a730c47f0ec9b85e50f83/69ad85cd7b39888042b3bbf1c22d630d.jpeg
Cabanna  Tijuana,ambiente familiar,4.7,"4,000+","Paseo Chapultepec, Tijuana, B.C. 22020",32.5140414,-117.0122345,https://tb-static.uber.com/prod/image-proc/processed_images/0320b49410f6fdc4e892df2a33283b3a/9b3aae4cf90f897799a5ed357d60e09d.jpeg
Camcakes,café,5.0,67,"155 Mocorito, Tijuana, LATAM 22020",31.7816,-116.5918,https://tb-static.uber.com/prod/image-proc/processed_images/bc8c6edb12700dcc23cb0edb91c0eb60/7915c4a78a9f94ed56316c7c4dc0ec89.jpeg
